jts,JtsFuzzer
jimfs,FileSystemFuzzer
exp4j,ExpressionBuilderFuzzer
woodstox,XmlFuzzer
rxjava,ObservableFuzzer
javapoet,TypeSpecFuzzer
spring-cloud-netflix,HostnameBasedUrlRandomizerFuzzer
guice,InjectorFuzzer
apache-commons-jxpath,JXPathFuzzer
async-http-client,AsyncHttpClientFuzzer
evo-inflector,EnglishFuzzer
quartz,CronScheduleBuilderFuzzer
jackson-dataformat-xml,XmlFuzzer
jackson-dataformat-xml,XmlDeserializerFuzzer
jackson-dataformat-xml,ToXmlGeneratorFuzzer
jackson-dataformat-xml,FromXmlParserFuzzer
jackson-dataformat-xml,XmlSerializerFuzzer
json-flattener,FlattenFuzzer
json-flattener,UnflattenFuzzer
curvesapi,ParseFuzzer
univocity-parsers,TsvParserFuzzer
univocity-parsers,CsvParserFuzzer
brotli-java,FuzzDecode
log4j2,log4j-core-fuzz-test-PatternLayoutFuzzer
log4j2,log4j-slf4j2-impl-fuzz-test-Slf4jToLog4jBridgeWithJsonTemplateLayoutFuzzer
log4j2,log4j-layout-template-json-fuzz-test-JsonTemplateLayoutCodecFuzzer
log4j2,log4j-slf4j2-impl-fuzz-test-Slf4jToLog4jBridgeWithPatternLayoutFuzzer
log4j2,log4j-layout-template-json-fuzz-test-JsonTemplateLayoutFuzzer
xnio-api,HttpParserFuzzer
checker-framework,UtilCheckerFuzzer
checker-framework,UtilCheckerFuzzer
angus-mail,BASE64EncoderStreamFuzzer
angus-mail,ASCIIUtilityFuzzer
dropwizard,DefaultServerFactoryFuzzer
xstream,XmlFuzzer
jsonp-api,GeneratorFuzzer
jsonp-api,CreateJsonFuzzer
jaxb,DataTypeConverterFuzzer
jaxb,DataTypeConverterFuzzer
kryo,DeserializeStringFuzzer
kryo,DeserializeCollectionsFuzzer
kryo,DeserializeNumbersFuzzer
twelve-monkeys,WildcardStringParserFuzzer
cron-utils,CronParserFuzzer
jettison,JsonFuzzer
spatial4j,SpatialContextFuzzer
feign,BodyTemplateFuzzer
feign,UriUtilsFuzzer
checkstyle,CheckstyleFuzzer
tyrus,UriTemplateParserFuzzer
apache-cxf,AttachmentDeserializerFuzzer
apache-cxf,AttachmentSerializerDeserializerFuzzer
apache-cxf,JsonMapObjectReaderWriterFuzzer
apache-cxf,XMLStreamReadersFuzzer
jackson-core,ParseNextTokenFuzzer
jackson-core,WriterBasedJsonGeneratorFuzzer
jackson-core,UTF8GeneratorFuzzer
jackson-core,DataInputFuzzer
jackson-core,JsonFuzzer
jsoup,HtmlFuzzer
jsoup,XmlFuzzer
zip4j,Zip4jFuzzer
servo-core,MonitorConfigFuzzer
aspectj,ASTFuzzer
aspectj,ASTFuzzer
netty,ServerCookieDecoderFuzzer
netty,LongLongHashMapFuzzer
netty,ByteBufUtilFuzzer
netty,HttpRequestDecoderFuzzer
ohc,OhcFuzzer
g-oauth-java-client,OauthSignerFuzzer
snakeyaml,SecureYamlFuzzer
snakeyaml,DefaultYamlFuzzer
fastjson2,JsonFuzzer
joda-time,TimeFuzzer
apache-commons-beanutils,BeanutilsFuzzer
apache-poi,POIXSLFFuzzer
apache-poi,POIOldExcelFuzzer
apache-poi,POIXWPFFuzzer
apache-poi,POIHPBFFuzzer
apache-poi,POIHSSFFuzzer
apache-poi,XLSX2CSVFuzzer
apache-poi,POIHMEFFuzzer
apache-poi,POIVisioFuzzer
apache-poi,POIHSLFFuzzer
apache-poi,POIHPSFFuzzer
apache-poi,POIHDGFFuzzer
apache-poi,POIXSSFFuzzer
apache-poi,POIFuzzer
apache-poi,POIHWPFFuzzer
apache-poi,POIHSMFFuzzer
apache-poi,EncryptDecryptFuzzer
spring-retry,PatternMatcher_match_Fuzzer
json-smart-v2,JSONParserFuzzer
rdf4j,ParserFuzzer
spring-cloud-stream,RabbitExchangeQueueProvisionerFuzzer
tablesaw,ReaderFuzzer
reflections,FilterBuilderFuzzer
reflections,ConfigurationBuilderFuzzer
g-http-java-client,JsonObjectParserFuzzer
xmlunit,DOMDifferenceEngineCompareFuzzer
jsch,OpenSSHConfigFuzzer
json-sanitizer,IdempotenceFuzzer
json-sanitizer,DenylistFuzzer
json-sanitizer,ValidJsonFuzzer
antlr4-java,GrammarFuzzer
docker-client,RegistryAuthFuzzer
mvel,MvelFuzzer
jfreechart,TimeSeriesChartFuzzer
jfreechart,PieDatasetChartFuzzer
jfreechart,DefaultCategoryDatasetChartFuzzer
jul-to-slf4j,BridgeFuzzer
jackson-databind,ObjectReaderRandomClassFuzzer
jackson-databind,ConvertValueFuzzer
jackson-databind,AdaLObjectReader3Fuzzer
jackson-databind,ReadTreeFuzzer
jackson-databind,ObjectReader2Fuzzer
jackson-databind,ObjectReaderFuzzer
jackson-databind,ObjectWriterFuzzer
apache-commons-configuration,XMLConfigurationWriteFuzzer
apache-commons-configuration,XMLConfigurationLoadFuzzer
apache-commons-configuration,INIConfigurationReadFuzzer
apache-commons-configuration,YAMLConfigurationReadFuzzer
apache-commons-configuration,INIConfigurationWriteFuzzer
apache-commons-configuration,JSONConfigurationReadFuzzer
apache-commons-configuration,JSONConfigurationWriteFuzzer
apache-commons-configuration,YAMLConfigurationWriteFuzzer
kie-soup,CronExpressionFuzzer
java-xmlbuilder,XmlBuilderFuzzer
gson,FuzzParse
gson,FuzzStreamParser
gson,FuzzReader
opencensus-java,JsonConversionFuzzer
spring-cloud-commons,EncryptionIntegrationFuzzer
calcite-avatica,ConnectStringParserFuzzer
calcite-avatica,Base64Fuzzer
javassist,ClassFuzzer
g-auth-library-java,CredentialsFuzzer
g-auth-library-java,TokenVerifierFuzzer
apache-commons-net,MLSxEntryParserFuzzer
apache-commons-net,NTFTPEntryParserFuzzer
apache-commons-net,OS400FTPEntryParserFuzzer
apache-commons-net,TelnetOptionFuzzer
apache-commons-net,Base64Fuzzer
fastcsv,CsvReaderFuzzer
args4j,CmdLineParserFuzzer
jsemver,VersionFuzzer
json2avro,ConverterFuzzer
itext7,PdfFuzzer
jose4j,JsonUtilFuzzer
jolt,JsonUtilsFuzzer
apache-commons-csv,CSVParserFuzzer
apache-commons-codec,BinaryEncodingFuzzer
apache-commons-codec,CryptFuzzer
apache-commons-codec,LanguageStringEncoderFuzzer
apache-commons-codec,NetCodecFuzzer
apache-commons-codec,DigestUtilsFuzzer
apache-commons-codec,MurmurHashFuzzer
apache-commons-codec,ChecksumFuzzer
apache-commons-codec,HmacUtilsFuzzer
apache-commons-codec,PhoneticEngineFuzzer
xerces,parserFuzzer
zt-zip,UnpackFuzzer
xz-java,XZEncoderFuzzer
json-java,JsonJavaFuzzer
calcite,SqlParserFuzzer
calcite,CalciteFuzzer
cglib,EnhancerFuzzer
hadoop,FileUtilFuzzer
hadoop,JavaSerializationFuzzer
stringtemplate4,StringFuzzer
snappy-java,BitShuffleFuzzer
snappy-java,SnappyStreamFuzzer
jopt-simple,OptionParserFuzzer
presto,SqlParserFuzzer
apache-commons-imaging,ImagingBmpFuzzer
apache-commons-imaging,ImagingGifFuzzer
apache-commons-imaging,ImagingPngFuzzer
apache-commons-imaging,ImagingTiffFuzzer
apache-commons-imaging,ImagingJpegFuzzer
qdox,JavaProjectBuilderFuzzer
antlr3-java,GrammarFuzzer
junrar,JunrarFuzzer
apache-commons-cli,ParserFuzzer
caffeine,CaffeineSpecFuzzer
sigstore-java,TufVerifierFuzzer
sigstore-java,CertificateEntryFuzzer
sigstore-java,SerializationFuzzer
sigstore-java,JsonCanonicalizerFuzzer
sigstore-java,FulcioCertificateMatcherFuzzer
sigstore-java,CertificatesFuzzer
sigstore-java,RekorVerifierFuzzer
sigstore-java,DigitallySignedFuzzer
sigstore-java,FulcioVerifierFuzzer
sigstore-java,RekorTypesFuzzer
sigstore-java,BundleReaderFuzzer
sigstore-java,SignerVerifierFuzzer
sigstore-java,KeysParsingFuzzer
sigstore-java,BundleVerifierFuzzer
jackson-datatype-joda,JodaSerializerFuzzer
jackson-datatype-joda,JodaDeserializerFuzzer
jackson-datatype-joda,JodaMapperFuzzer
java-diff-utils,DiffUtilsFuzzer
apache-commons-validator,UrlValidatorFuzzer
apache-commons-validator,IBANValidatorFuzzer
apache-commons-validator,CreditCardValidatorFuzzer
apache-commons-validator,UrlValidator2Fuzzer
zookeeper,DataTreeFuzzer
zookeeper,MessageTrackerPeekReceivedFuzzer
zookeeper,SerializeFuzzer
zookeeper,ProcessTxnFuzzer
rhino,ParserFuzzer
jackson-dataformats-binary,CborGeneratorFuzzer
jackson-dataformats-binary,SmileGeneratorFuzzer
jackson-dataformats-binary,IonGeneratorFuzzer
jackson-dataformats-binary,CborFuzzer
jackson-dataformats-binary,SerializerFuzzer
jackson-dataformats-binary,SmileFuzzer
jackson-dataformats-binary,CborParserFuzzer
jackson-dataformats-binary,AvroParserFuzzer
jackson-dataformats-binary,ProtobufParserFuzzer
jackson-dataformats-binary,DeserializerFuzzer
jackson-dataformats-binary,SmileParserFuzzer
jackson-dataformats-binary,AvroGeneratorFuzzer
jackson-dataformats-binary,IonParserFuzzer
jsonpath,PathParserFuzzer
hamcrest,HamcrestFuzzer
jdom,SAXBuilderFuzzer
flyway,LocationFuzzer
sqlite-jdbc,SqliteConnectionFuzzer
zxing,MultiFormatEncodeFuzzer
zxing,MultiFormatDecodeFuzzer
bc-java-wycheproof,WycheproofTarget.bash
bc-java-wycheproof,WycheproofTarget.bash
apache-felix-dev,JSONParserFuzzer
java-uuid-generator,GeneratorsFuzzer
yamlbeans,YamlReaderFuzzer
yamlbeans,YamlWriterFuzzer
jflex,JflexFuzzer
jackson-modules-java8,DatatypeFuzzer
open-json,JsonTokenerFuzzer
apache-commons-compress,CompressorLZ4Fuzzer
apache-commons-compress,CompressTarFuzzer
apache-commons-compress,ArchiverTarStreamFuzzer
apache-commons-compress,CompressSevenZFuzzer
apache-commons-compress,CompressorBZip2Fuzzer
apache-commons-compress,CompressorZFuzzer
apache-commons-compress,ArchiverDumpFuzzer
apache-commons-compress,ArchiverArFuzzer
apache-commons-compress,ArchiverZipStreamFuzzer
apache-commons-compress,CompressZipFuzzer
apache-commons-compress,CompressorDeflate64Fuzzer
apache-commons-compress,CompressorSnappyFuzzer
apache-commons-compress,CompressorGzipFuzzer
apache-commons-compress,CompressorPack200Fuzzer
apache-commons-compress,ArchiverArjFuzzer
apache-commons-compress,ArchiverCpioFuzzer
slf4j-api,LoggingFuzzer
micronaut,Base64DecoderFuzzer
micronaut,XmlFrameDecoderFuzzer
micronaut,EmbeddedHttpTarget
micronaut,HttpServerCodecFuzzer
micronaut,SnappyFrameDecoderFuzzer
micronaut,HttpServerExpectContinueHandlerFuzzer
micronaut,JsonObjectDecoderFuzzer
micronaut,SslHandlerFuzzer
micronaut,HttpObjectAggregatorFuzzer
micronaut,JZlibDecoderFuzzer
micronaut,FixedLengthFrameDecoderFuzzer
micronaut,Lz4FrameDecoderFuzzer
micronaut,RtspDecoderFuzzer
micronaut,JdkZlibDecoderFuzzer
micronaut,HttpResponseDecoderFuzzer
micronaut,StringDecoderFuzzer
micronaut,LineBasedFrameDecoderFuzzer
micronaut,HttpContentDecompressorFuzzer
micronaut,WebSocketServerProtocolHandlerFuzzer
micronaut,HttpServerKeepAliveHandlerFuzzer
micronaut,FastLzFrameDecoderFuzzer
micronaut,HttpServerUpgradeHandlerFuzzer
micronaut,HttpClientUpgradeHandlerFuzzer
micronaut,EmbeddedHttp2Target
micronaut,HttpClientCodecFuzzer
micronaut,MediaTypeTarget
micronaut,LzfDecoderFuzzer
micronaut,LengthFieldBasedFrameDecoderFuzzer
micronaut,HttpRequestDecoderFuzzer
micronaut,CorsHandlerFuzzer
micronaut,Bzip2DecoderFuzzer
micronaut,ZstdDecoderFuzzer
micronaut,DelimiterBasedFrameDecoderFuzzer
micronaut,BrotliDecoderFuzzer
dom4j,DOMReaderFuzzer
janino,ExpressionEvaluatorFuzzer
pdfbox,PDFStreamParserFuzzer
pdfbox,PDFWriteReadFuzzer
bazel-rules-fuzzing-test-java,NativeRunfileFuzzTest
bazel-rules-fuzzing-test-java,EmptyFuzzTest
bazel-rules-fuzzing-test-java,NativeUbsanFuncPtrFuzzTest
mybatis-3,ResolverUtilFuzzer
mybatis-3,PooledDataSourceFuzzer
javacpp,JavacppFuzzer
jackson-dataformats-text,PropertiesFuzzer
jackson-dataformats-text,YAMLFuzzer
jackson-dataformats-text,SerializerFuzzer
jackson-dataformats-text,CSVFuzzer
jackson-dataformats-text,DeserializerFuzzer
jackson-dataformats-text,TOMLFuzzer
cbor-java,FuzzDec
jackson-datatypes-collections,GuavaDeserializerFuzzer
jackson-datatypes-collections,GuavaSerializerFuzzer
jackson-datatypes-collections,EclipseCollectionsDeserializerFuzzer
jackson-datatypes-collections,HppcSerializerFuzzer
jackson-datatypes-collections,PCollectionsFuzzer
jackson-datatypes-collections,HppcDeserializerFuzzer
jackson-datatypes-collections,EclipseCollectionsSerializerFuzzer
spring-cloud-config,ConfigServerPropertiesFuzzer
spring-cloud-config,EnvironmentFuzzer
fuzzywuzzy,DiffUtilsFuzzer
fuzzywuzzy,FuzzySearchFuzzer
jansi,JansiFuzzer
mariadb-connector-j,MariaDbPoolDataSourceFuzzer
mariadb-connector-j,MariaDbPoolDataSourceFuzzer
twitter4j,TwitterObjectFactoryFuzzer
jakarta-mail-api,HeaderTokenizerFuzzer
apache-commons-collections,CollectionsBidiMapFuzzer
metadata-extractor,ImageMetadataReaderFuzzer
joni,AddrListFixFuzzer
joni,RegexMatcherFuzzer
plexus-utils,XmlStreamReaderFuzzer
plexus-utils,MXParserFuzzer
apache-commons-text,StringSubstitutorInterpolatorFuzzer
apache-commons-text,StringSubstitutorFuzzer
jmh,OptionsBuilderFuzzer
jmh,OptionsBuilderFuzzer
threetenbp,ThreetenbpFuzzer
struts,StrutsSimpleRequestFuzzer
httpcomponents-client,FileBodyWriteToFuzzer
httpcomponents-client,ByteArrayBodyWriteToFuzzer
httpcomponents-client,InputStreamBodyWriteToFuzzer
httpcomponents-client,FormBodyPartBuilderBuildFuzzer
httpcomponents-client,StringBodyWriteToFuzzer
httpcomponents-client,HttpFuzzer
httpcomponents-client,HttpFuzzer
hikaricp,PropertyElfFuzzer
hikaricp,DriverDataSourceFuzzer
hikaricp,UtilityElfFuzzer
hikaricp,ClockFuzzer
apache-commons-io,WriterFuzzer
apache-commons-io,InputStreamFuzzer
apache-commons-io,FileFilterFuzzer
apache-commons-io,InputXmlFuzzer
apache-commons-io,GeneralUtilsFuzzer
apache-commons-io,ReaderFuzzer
apache-commons-io,PathUtilsFuzzer
apache-commons-io,FileUtilsFuzzer
apache-commons-io,FileComparatorFuzzer
apache-commons-io,OutputStreamFuzzer
rome,XmlReaderFuzzer
hsqldb,SqlPreparedStatementFuzzer
hsqldb,ConnectionOptionsFuzzer
hsqldb,SqlStatementFuzzer
javaparser,parseFuzzer
undertow,RedirectHandlerFuzzer
json-simple,JsonEncodeDecodeFuzzer
json-simple,JsonParserFuzzer
xmlpull,PullParserFactoryFuzzer
jedis,JedisURIFuzzer
unirest-java,JsonArrayFuzzer
unirest-java,JacksonEngineFuzzer
swagger-core,YamlFuzzer
apache-commons-bcel,BcelFuzzer
jooq,GenerationToolFuzzer